Park Name,Type of Unit,State,Reg,Alpha,Unit,index site,Alert title list,Alert description,Alert full description,Number of alerts,Number of alerts with description,Road Closure Alert Flag
Delaware Water Gap,National Recreation Area,PA,NER,DEWA,1.0,https://www.nps.gov/DEWA/planyourvisit/conditions.htm,['Park Closure'],"['Main Street Walpack Bridge Closed Until Further Notice', 'Reduced Winter Services in Effect']","['Main Street in Walpack Center is closed at the Flatbrook Bridge due to structural damage to the bridge. The cause of the damage is under investigation.\n', 'The winter maintenance plan is in effect for the season beginning January 2, 2024. Certain roads and areas may be closed or may not receive winter maintenance. \n\nVisit the Current Conditions page for more information.\n\n']",1,2,1
Dinosaur,National Monument,"CO,UT",IMR,DINO,1.0,https://www.nps.gov/DINO/planyourvisit/conditions.htm,"['Park Closure', 'Information', 'Alert Locations']","['Split Mountain Campground and Desert Voices Trail Temporarily Closed Due to Mountain Lion Activity', 'Harpers Corner Road is Closed for Winter']","['Due to a mountain lion sighting with a fresh deer kill on February 22, the following areas are temporarily closed to visitors: Split Mountain Road and Campground, Desert Voices Trail, Connector Trail between Desert Voices and Sounds of Silence. ', 'The Harpers Corner Road in Colorado is closed at Plug Hat Picnic Area, approximately five miles from US HWY 40. Access to the Dinosaur Quarry in the Utah portion of the monument is open all winter.']",3,2,1
Dry Tortugas,National Park,FL,SER,DRTO,1.0,https://www.nps.gov/DRTO/planyourvisit/conditions.htm,"['Park Closure', 'Caution', 'Information']","['Campground will be closed from March 11 - April 24', 'Bush Key is Closed', 'Closures on parts of Garden Key and Loggerhead Key', 'Garden Key Harbor Light', 'Migrant Notice']","['The Garden Key Campground will be closed for 45 days because of heavy machinery in the immediate area that will be dredging the moat and relocating the sand. The closure is necessary for the safety of our visitors. ', 'Date Posted: 2/7/2024', 'Until further notice, all finger piers and slips, and the dinghy beach \nbetween the finger piers and the South Coaling Dock are closed on Garden Key. On Loggerhead Key, the Historic Preservation/Adaptive Use zone around the lighthouse is closed.', 'Vessel operators - the Garden Key Harbor Light is undergoing repairs and is extinguished. At this time it is unknown when the light will again be illuminated.', 'Like elsewhere in the Florida Keys, we have recently seen an increase in Cuban migrants arriving by boat from Cuba and landing on the islands of Dry Tortugas National Park. You may observe migrant landings at the park and visitor areas may be impacted.']",3,5,0
Ebey's Landing,National Historical Reserve,WA,PWR,EBLA,1.0,https://www.nps.gov/EBLA/planyourvisit/conditions.htm,[],[],[],0,0,0
Edgar Allan Poe,National Historic Site,PA,NER,EDAL,1.0,https://www.nps.gov/EDAL/planyourvisit/conditions.htm,"['Information', '']",['Pause on School Reservations'],"['Due to an anticipated construction project and site closure, the Edgar Allan Poe NHS is not accepting school field trip reservations for Winter/Spring 2024.']",2,1,0
Thomas Edison,National Historical Park,NJ,NER,EDIS,1.0,https://www.nps.gov/EDIS/planyourvisit/conditions.htm,[''],[],[],1,0,0
Effigy Mounds,National Monument,IA,MWR,EFMO,1.0,https://www.nps.gov/EFMO/planyourvisit/conditions.htm,['Information'],['Indoor restrooms and drinking water MAY be unavailable'],"['Due to an ongoing upgrade to our water system, the visitor center will be intermittently without potable drinking water or wastewater capabilities. During these times, bottled water and portable toilets are available for visitors.']",1,1,0
Eisenhower,National Historic Site,PA,NER,EISE,1.0,https://www.nps.gov/EISE/planyourvisit/conditions.htm,[],[],[],0,0,0
El Malpais,National Monument,NM,IMR,ELMA,1.0,https://www.nps.gov/ELMA/planyourvisit/conditions.htm,"['Park Closure', 'Caution', '']","['El Malpais Visitor Center closed March 8', 'All lava tube caves closed November 1st through April 30th', 'NPS 300 Road Conditions']","[""The El Malpais Visitor Center will be closed on Friday, March 8, 2024, for interpretation staff training. The park's roads and hiking trails are open to visit while the visitor center is closed. Thank you for your understanding. "", 'Date Posted: 11/1/2023', 'Date Posted: 2/18/2024']",3,3,1
El Morro,National Monument,NM,IMR,ELMO,1.0,https://www.nps.gov/ELMO/planyourvisit/conditions.htm,"['Park Closure', 'Information', '']","['Park Closed Tuesdays and Wednesdays', 'Visitor Center and Trails Closed 3/8/24', 'Water in Campground is Shut Off', 'Headland Trail Partially Closed']","['The visitor center and all park trails are closed on Tuesdays and Wednesdays. Open Thursday through Monday, from 9 am - 5 pm. \n\nHiking park trails is not permitted when the park is closed.', 'The El Morro Visitor Center and trails will be closed Friday, March 8th, for a staff training. Trails will be open Thursday, March 7th and Saturday, March 9th.', 'The water in the campground has been shut off for the winter due to freezing temperatures. Visitors are encouraged to bring their own supply. Small water containers may also be filled in the visitor center during business hours (9 am - 5 pm).', 'The Headland Trail is open via the stairs to North Atsinna Pueblo. The switchbacks remained closed. The Inscription Loop is open to marker 16. Watch for snow and ice on the trail.']",3,4,0
Eleanor Roosevelt,National Historic Site,NY,NER,ELRO,1.0,https://www.nps.gov/ELRO/planyourvisit/conditions.htm,"['Information', '']",['Val-Kill Cottage Tours'],['Date Posted: 1/6/2024'],2,1,0
Eugene O'Neill,National Historic Site,CA,PWR,EUON,1.0,https://www.nps.gov/EUON/planyourvisit/conditions.htm,[],[],[],0,0,0
Everglades,National Park,FL,SER,EVER,1.0,https://www.nps.gov/EVER/planyourvisit/conditions.htm,"['Park Closure', 'Caution', 'Information']","['Click on non-emergency alerts below for important details on accessing the park', 'Temporary Closure for Prescribed Fire Operations', 'Boil Water Notice in Flamingo', 'Roadwork may cause delays on US 41/Tamiami Trail', ""Road construction on approach to park's Homestead entrance"", 'Parking at Shark Valley is filling to capacity from approx. 10 am to 3 pm', 'Prescribed Fire Operations/Smoke Impacts Main Park Rd Near Pinelands Trail', 'Prescribed Fire Operations/Smoke Impacts Main Park Rd and Hells Bay Canoe Trail', 'For entrance fees, we accept digital passes and credit/debit cards']","['Flamingo is currently under a boil water notice. Roads to the park have delays from construction and Shark Valley parking lot is regularly filling to capacity from 10 a.m. to 3 p.m. with wait times of up to 2 hours. ', 'Beginning February 26, Pinelands Trail including access road and parking area will be closed due to prescribed fire activity.  Area will reopen when deemed safe by fire managers', 'Flamingo is currently under a boil water notice. Until this notice is lifted, Flamingo Restaurant will remain closed. If you’re visiting the area, it is best to bring your own potable water and food. Call (305) 242-7700 for more information. ', ""Current roadwork is ongoing along the park's northern boundary on US Highway 41/Tamiami Trail to raise the road for Everglades Restoration benefits. Drivers may experience up to 15-minute delays and should watch for personnel, equipment and slow downs. "", 'Roadwork is underway along State Road 9336 leading to the Homestead entrance of the park, approaching the Ernest F. Coe Visitor Center. Drivers may experience short delays and should watch for personnel, construction equipment, and slowdowns. ', 'Parking at Shark Valley (located on US Hwy 41) during the busy winter season is extremely limited. For those with bike or tram reservations, we suggest arriving as early as 1-1.5 hours ahead of time.', 'Fire managers will be conducting prescribed fire operations north of Main Park Rd in the vicinity of Pinelands Trail.  Smoke impacts are expected along Main Park Rd, especially in the early morning hours. Visitors are urged to use extreme caution.', 'Beginning Feb 28, heavy smoke impacts are expected on the Hells Bay Canoe Trail and from the trail south along Main Park Rd as fire managers conduct prescribed fire operations.  Visitors are urged to use extreme caution while driving in the area.', 'Digital passes or credit/debit cards are the ONLY method of payment at all fee collection areas. Pre-paid digital passes are available online and may be purchased in advance. ']",3,9,1
Federal Hall,National Memorial,NY,NER,FEHA,1.0,https://www.nps.gov/FEHA/planyourvisit/conditions.htm,"['Danger', '']",['Sidewalk scaffolding at Federal Hall'],"['Protective sidewalk scaffolding has been erected around the building to protect the public from falling materials. Later this year, additional scaffolding will be installed while we conduct an in-depth condition assessment of the building façade.']",2,1,0
Fire Island,National Seashore,NY,NER,FIIS,1.0,https://www.nps.gov/FIIS/planyourvisit/conditions.htm,"['Park Closure', 'Information', 'Islip, Long Island Mac Arthur Airport']","['Boardwalks at Sunken Forest, Carrington House, and Watch Hill Closed', 'Possession or use of marijuana inside Fire Island National Seashore is prohibited.', 'William Floyd Estate']","['Due to recent storm damage, boardwalks at the Sunken Forest, Carrington House, and Watch Hill Nature Trail are closed until further notice.', 'While New York provides for regulated possession and use of marijuana, it remains an illegal drug under federal law and enforced within National Park units. ', 'The Old Mastic House is closed for renovations until further notice. ']",3,3,0
First Ladies,National Historic Site,OH,MWR,FILA,1.0,https://www.nps.gov/FILA/planyourvisit/conditions.htm,"['Caution', 'Information']","['Construction on Exterior of the Saxton Home ', 'Saxton House by Guided Tour Only ']","['Date Posted: 6/20/2023', 'Date Posted: 6/2/2022']",2,2,0
Florissant Fossil Beds,National Monument,CO,IMR,FLFO,1.0,https://www.nps.gov/FLFO/planyourvisit/conditions.htm,"['Park Closure', 'Caution', 'Information']","['Visitor Center Closure Updates for Feb 26, 29 and March 4', 'Winter Hiking Safety', 'Trail Updates', 'Interior Restrooms Closed at the Visitor Center during Renovation: No drinking fountain', 'Current Winter Park Hours: Visitor Center open Tuesdays to Saturdays; Park Closed Sundays', 'Florissant Fossil Beds has moved to cashless fee collection']","['The Visitor Center will have reduced hours of operation on Monday, Feb 26 (open at 11am) and Thursday, Feb 29 (open at noon) and will remain closed Monday, March 4. Park brochures & the passport stamp are available in the lobby when the building is closed', 'During the winter if you plan on hiking the trails at Florissant Fossil Beds it is recommended to wear traction devices and also have trekking poles.  Some areas of the trails are snow-packed and/or have ice and are slippery. ', ""Park trails are snow-covered in many areas and may have ice or be slippery in spots. The 1/2-mile Ponderosa Loop is snow-covered. Proper footwear is important and traction devices are recommended. Click 'more' to see the webcam for view across the valley"", 'Toilets are available in the parking lot at the Visitor Center while the interior restrooms are undergoing renovation. The drinking fountain/bottle filling station is off. Please pack water for your visit. Work is scheduled to be complete by mid March. ', 'The park is closed Sundays (Visitor Center, main parking lot & nearby trails). The Visitor Center is open Tuesdays through Saturdays, 9am to 4:30pm.  On Mondays, the Visitor Center may have reduced hours or remain closed. ', 'Entrance fees and pass purchases must be made with a credit/debit card or payment app on a mobile device. Electronic payment reduces transaction times, saves money, and improves accountability.']",3,6,0
Flight 93,National Memorial,PA,NER,FLNI,1.0,https://www.nps.gov/FLNI/planyourvisit/conditions.htm,"['Caution', 'Information', '']","['Short Term Construction', 'Restroom Closure']","['Date Posted: 2/26/2024', 'Date Posted: 2/26/2024']",3,2,0
Fort Bowie,National Historic Site,AZ,IMR,FOBO,1.0,https://www.nps.gov/FOBO/planyourvisit/conditions.htm,['Information'],['Butterfield Trail Closure'],"['The Butterfield Trail is currently closed to horses and pack animals.  It remains open for hiking and foot traffic.  For more information, see our policy page.']",1,1,0
Fossil Butte,National Monument,WY,IMR,FOBU,1.0,https://www.nps.gov/FOBU/planyourvisit/conditions.htm,"['Information', 'Alert Locations', '']",['Scenic Drive Closed'],['Date Posted: 12/20/2023'],3,1,0
Fort Caroline,National Memorial,FL,SER,FOCA,1.0,https://www.nps.gov/FOCA/planyourvisit/conditions.htm,"['Park Closure', 'Caution']","['Spanish Pond Boardwalk Construction ', 'Social Trail to Shoreline Closed', 'Green Trail Closed ']","['We are performing routine maintenance to the boardwalk and access will be limited during work hours.  Anticípate completion by the end of next week.  Access to the trails during work will be to the North of the boardwalk entrance along the Spanish Pond.\n', 'The social trail to the right of the bulkhead at Kingsley Plantation will be closed with a fence starting July 7, 2022.  Erosion issues there threaten both the bulkhead structure and safety.  Please use the access off the path toward the dock for fishing. ', 'A portion of the Green Trail at the Theodore Roosevelt Area is closed to public access until further notice due to excess erosion. ']",2,3,0
Fort Davis,National Historic Site,TX,IMR,FODA,1.0,https://www.nps.gov/FODA/planyourvisit/conditions.htm,['Information'],"['Fort Davis NHS is in the Central Time Zone ', 'Fort Davis NHS is a NO DRONE Zone!', 'Fort Davis Suspends Cash Entrance Fees']","['Fort Davis National Historic Site is located in the Central Time Zone. The park is open 8:00 am until 5:00 pm (Central Time). The Visitor Center closes at 4:30pm. The Main Gate locks at 5:00pm.', 'The use of drones is prohibited at Fort Davis National Historic Site. Thank you for preserving the cultural landscape.', 'Due to unforeseen circumstances Fort Davis NHS will only be accepting Credit Card Transactions for entrance fees until a new fee register can be installed. Please keep following us for future updates. We hope to accept cash fees by March 10,2024.']",1,3,0
Fort Donelson,National Battlefield,TN,SER,FODO,1.0,https://www.nps.gov/FODO/planyourvisit/conditions.htm,['Information'],"['County road through the Fort Heiman Unit is Closed to Vehicles Past the Pavilion', 'Fort Donelson NB Road Access on Winter Schedule Beginning Sunday, November 5, 2023']","['Date Posted: 4/13/2023', 'Date Posted: 11/3/2023']",1,2,1
Fort Frederica,National Monument,GA,SER,FOFR,1.0,https://www.nps.gov/FOFR/planyourvisit/conditions.htm,[],[],[],0,0,0
Fort Laramie,National Historic Site,WY,IMR,FOLA,1.0,https://www.nps.gov/FOLA/planyourvisit/conditions.htm,[],[],[],0,0,0
Fort Larned,National Historic Site,KS,MWR,FOLS,1.0,https://www.nps.gov/FOLS/planyourvisit/conditions.htm,[''],[],[],1,0,0
Fort Matanzas,National Monument,FL,SER,FOMA,1.0,https://www.nps.gov/FOMA/planyourvisit/conditions.htm,"['Park Closure', 'Information']","['No Ferry Service on Tuesdays', 'Proposal for $1 reservation fee for special events']","['The ferry service to the fort is closed on Tuesdays.  However, the visitor center and surrounding grounds remain open seven days a week.', 'Proposing a $1 reservation fee for after-hours special events, including the popular Torchlight Tours. This $1 reservation fee is necessary to allow for on-line reservations for these programs and to ensure space is available. Open for public comment.']",2,2,0
Fort McHenry,National Monument and Historic Shrine,MD,NER,FOMC,1.0,https://www.nps.gov/FOMC/planyourvisit/conditions.htm,"['Caution', 'Information', '']","['Seawall Damage', 'Motorized Recreational Scooters Not Permitted in Park']","['Date Posted: 2/20/2024', 'Date Posted: 6/9/2020']",3,2,0
Fort Monroe,National Monument,VA,NER,FOMR,1.0,https://www.nps.gov/FOMR/planyourvisit/conditions.htm,"['Information', '']",['Reminder: Look Before Parking'],['Visitors are reminded to park in marked parking spaces. Parking in the grass or other alternative areas is unauthorized. Please help us #KeepFortMonroeBeautiful.'],2,1,0
Fort Necessity,National Battlefield,PA,NER,FONE,1.0,https://www.nps.gov/FONE/planyourvisit/conditions.htm,"['Information', '']","['CCC Camp Picnic Pavilions Closed', 'Portions of Braddock Road Trail Closed', 'Seasonal Closures']","['Date Posted: 4/28/2022', 'Date Posted: 8/3/2023', 'Date Posted: 11/1/2023']",2,3,1
Fort Point,National Historic Site,CA,PWR,FOPO,1.0,https://www.nps.gov/FOPO/planyourvisit/conditions.htm,['Caution'],['Auto-Theft Warning - Only Bring What You Need to the Park'],"['You can prevent vehicle break-ins in parking lots and scenic overlooks. Before leaving your car for even a short period of time: 1) Remove all valuables, 2) Lock your doors. 3) Take your cell phones and electronics with you. Read article for more details.']",1,1,0
Fort Pulaski,National Monument,GA,SER,FOPU,1.0,https://www.nps.gov/FOPU/planyourvisit/conditions.htm,"['Information', '']","['Fort Pulaski Entrance Fees are Credit/Debit Only', 'The North Shoreline is Closed', 'Drones are Prohibited in Fort Pulaski National Monument']","['The park is no longer accepting cash for entrance fees. Credit and debit cards are the only method of payment currently being accepted.', 'The shoreline is closed permanently for resource protection and visitor safety.', ""The use of drones or other remote-controlled unmanned aircraft, is prohibited in the park for issues relating to visitor safety and experience, and wildlife and resource protection. For more info, see section 1.5(a)(1) of the Superintendent's Compendium.""]",2,3,0
Fort Raleigh,National Historic Site,NC,SER,FORA,1.0,https://www.nps.gov/FORA/planyourvisit/conditions.htm,[],[],[],0,0,0
Fort Scott,National Historic Site,KS,MWR,FOSC,1.0,https://www.nps.gov/FOSC/planyourvisit/conditions.htm,"['Park Closure', 'Information', '']","['Park Buildings Temporarily Closed on Wednesdays & Thursdays', 'Post Hospital/Visitor Center Temporarily Closed', 'The Dragoon Barracks are Temporarily Closed', 'Park Movie ']","['This closure only effects park buildings, the site is still open daily from 1/2 hour before sunrise until 1/2 hour after sunset. to visit the site virtually, follow the link at the bottom.', ""The Post Hospital and bookstore are temporarily closed. The park's information desk, with the passport cancelation station and Jr. Ranger books, will be on the first floor of the West Infantry Barracks next door."", 'The Dragoon Barracks are closed until at least April as the park repairs damages from a major leak in the fire suppression system. Follow the link below for a virtual tour of the building.', ""Due to technical difficulties, the captioning on our park movie is not currently working and the lighting is not consistently dimming in the site's theater. For a captioned version, you can visit www.nps.gov/fosc/learn/photosmultimedia/fsmvideos.htm""]",3,4,0
Fort Smith,National Historic Site,"AR,OK",MWR,FOSM,1.0,https://www.nps.gov/FOSM/planyourvisit/conditions.htm,[],[],[],0,0,0
Fort Stanwix,National Monument,NY,NER,FOST,1.0,https://www.nps.gov/FOST/planyourvisit/conditions.htm,[''],[],[],1,0,0
Fort Sumter,National Monument,SC,SER,FOSU,1.0,https://www.nps.gov/FOSU/planyourvisit/conditions.htm,['Caution'],"[""Men's Restrooms at Fort Sumter Under Repair""]",['Date Posted: 1/3/2024'],1,1,0
Ford's Theatre,National Historic Site,DC,NCR,FOTH,1.0,https://www.nps.gov/FOTH/planyourvisit/conditions.htm,[''],[],[],1,0,0
Fort Union,National Monument,NM,IMR,FOUN,1.0,https://www.nps.gov/FOUN/planyourvisit/conditions.htm,[],[],[],0,0,0
Fort Union Trading Post,National Historic Site,ND,MWR,FOUS,1.0,https://www.nps.gov/FOUS/planyourvisit/conditions.htm,['Information'],"['Winter Hours: Wednesday - Sunday, 9:00 – 5:00 Central Time and closed Monday - Tuesdays. ']",['Date Posted: 10/6/2023'],1,1,0
Fort Vancouver,National Historic Site,WA,PWR,FOVA,1.0,https://www.nps.gov/FOVA/planyourvisit/conditions.htm,[],[],[],0,0,0
Fort Washington,Park,MD,NCR,FOWA,1.0,https://www.nps.gov/FOWA/planyourvisit/conditions.htm,['Park Closure'],['Temporary Nighttime Road Closures for Deer Management'],['Date Posted: 1/2/2024'],1,1,1
Franklin Delano Roosevelt,Memorial,DC,NCR,FRDE,1.0,https://www.nps.gov/FRDE/planyourvisit/conditions.htm,[],[],[],0,0,0
Frederick Douglass,National Historic Site,DC,NCR,FRDO,1.0,https://www.nps.gov/FRDO/planyourvisit/conditions.htm,[],[],[],0,0,0
Friendship Hill,National Historic Site,PA,NER,FRHI,1.0,https://www.nps.gov/FRHI/planyourvisit/conditions.htm,"['Information', '']",['Winter Hours'],['Date Posted: 10/1/2023'],2,1,0
Frederick Law Olmsted,National Historic Site,MA,NER,FRLA,1.0,https://www.nps.gov/FRLA/planyourvisit/conditions.htm,"['Caution', '']",['Storm Damage'],['Date Posted: 12/19/2023'],2,1,0
Fredericksburg & Spotsylvania,National Military Park,VA,NER,FRSP,1.0,https://www.nps.gov/FRSP/planyourvisit/conditions.htm,"['Information', '']","[""Maintenance on Scott's Run and Wilderness Run Bridges Starting March 1, 2024""]",['Date Posted: 2/25/2024'],2,1,0
First State,National Monument,DE,NER,FRST,1.0,https://www.nps.gov/FRST/planyourvisit/conditions.htm,[''],[],[],1,0,0
Gates Of The Arctic,National Park & Preserve,AK,AKR,GAAR,2.0,https://www.nps.gov/GAAR/planyourvisit/conditions.htm,[],[],[],0,0,0
Gauley River,National Recreation Area,WV,NER,GARI,1.0,https://www.nps.gov/GARI/planyourvisit/conditions.htm,[''],[],[],1,0,0
Gateway,National Recreation Area,"NY,NJ",NER,GATE,1.0,https://www.nps.gov/GATE/planyourvisit/conditions.htm,"['Park Closure', 'Information', '']","['Dead Horse Bay (Brooklyn) Remains Closed to the Public', 'Spring Creek (Queens) Closed to the Public', 'Dogs Not allowed on ocean beaches in Jamaica Bay and Sandy Hook March 15- Sept. 15']","['The entire southern area of Dead Horse Bay, including Glass Bottle Beach, is closed to the public. Crews are working in these areas using heavy brush clearing equipment and performing radiation surveys. Dead Horse Bay is located in Brooklyn, NYC.', 'Spring Creek is closed to the public at this time. The NPS is conducting field investigations as part of a Remedial Investigation at the site. Spring Creek is located in Queens, NYC.', 'Dogs are not allowed on ocean beaches at Sandy Hook between March 15 through September 15. Dogs are not allowed on the ocean beaches at Jacob Riis Park, Fort Tilden, Breezy Point Tip and at the bayside of Breezy Point between March 15 through September 15']",3,3,0
General Grant,National Memorial,NY,NER,GEGR,1.0,https://www.nps.gov/GEGR/planyourvisit/conditions.htm,"['Caution', '']",['Lower Crypt Access Subject to Safe Conditions'],['Access to the lower crypt area of the Mausoleum is subject to closure during wet and or low light conditions in the late afternoon. The main floor and the two reliquary rooms remain open during these conditions. '],2,1,0
George Rogers Clark,National Historical Park,IN,MWR,GERO,1.0,https://www.nps.gov/GERO/planyourvisit/conditions.htm,"['Park Closure', 'Information']","['Memorial Building Closed', 'George Rogers Clark NHP in the Eastern Time Zone']","['The Memorial Building will be closed Tuesday, February 20 and Wednesday, February 21 for floor waxing.', 'George Rogers Clark National Historical Park is located in the Eastern Time Zone. The park is open 9:00 am until 5:00 pm (Eastern time). The memorial closes 15 minutes before the visitor center.']",2,2,0
Gettysburg,National Military Park,PA,NER,GETT,1.0,https://www.nps.gov/GETT/planyourvisit/conditions.htm,['Park Closure'],"['Little Round Top Rehabilitation Project Closure Notice', 'Rose Farm Rehabilitation Project Closure Notice']","['Date Posted: 7/26/2022', 'As of May 3, 2023, the Rose Farm & Rose Lane are closed to all visitation. The house will undergo a full rehabilitation. This work prohibits the use of the area around the house and lane during construction. Worker safety and resource protection are key.']",1,2,0
George Washington Birthplace,National Monument,VA,NER,GEWA,1.0,https://www.nps.gov/GEWA/planyourvisit/conditions.htm,"['Park Closure', 'Information', '']","['Memorial House Museum and Colonial Revival Kitchen Closed for Restoration Work. ', 'Visitor Center Closed Monday and Tuesday', 'Picnic Area Restrooms and Park Water Fountains - Closed for Season']","['The Memorial House Museum and Colonial Revival Kitchen are closed for restoration work, with an anticipated completion date of March 2024. ', 'The Visitor Center at George Washington Birthplace National Monument is closed on Mondays and Tuesdays. Park grounds are open daily 9:00 - 5:00 pm. On Mondays and Tuesdays, there are no tours of the Memorial House Museum.', 'The public restrooms and water fountain at the Picnic Area have been closed for winterization. They will reopen in Spring 2024. \n\nThe water fountain in the Memorial Area has been closed for winterization. It will reopen in Spring 2024.']",3,3,0
Gila Cliff Dwellings,National Monument,NM,IMR,GICL,1.0,https://www.nps.gov/GICL/planyourvisit/conditions.htm,['Information'],['Secure trash and food'],"['Pack it in, pack it out! There are no trash services in or around the monument. All food & trash must be secured inside a vehicle or hard sided containers. Ravens routinely open zipped bags & tear into trash bags left outside or in the bed of a truck. ']",1,1,0
Glacier,National Park,MT,IMR,GLAC,1.0,https://www.nps.gov/GLAC/planyourvisit/conditions.htm,['Park Closure'],['Going-to-the-Sun Road Seasonal Closure'],['The alpine section of the Going-to-the-Sun Road is closed for the season. The road remains open to Lake McDonald Lodge on the west side and to St. Mary Campground on the east side.'],1,1,1
Glacier Bay,National Park & Preserve,AK,AKR,GLBA,2.0,https://www.nps.gov/GLBA/planyourvisit/conditions.htm,[],[],[],0,0,0
Glen Canyon,National Recreation Area,"AZ,UT",IMR,GLCA,1.0,https://www.nps.gov/GLCA/planyourvisit/conditions.htm,[],[],[],0,0,0
Golden Gate,National Recreation Area,CA,PWR,GOGA,1.0,https://www.nps.gov/GOGA/planyourvisit/conditions.htm,"['Caution', 'Information']","['Auto-Theft Warning - Only Bring What You Need to the Park', 'Miramontes Trail at Phleger Estate Closed for Public Safety January 2022 Until Trail is Replaced', 'Very limited parking at China Beach (updated work hours in October 2023)', 'Ocean Beach No-Burn Season: November 1, 2023, through End of February 2024']","['You can prevent vehicle break-ins in parking lots and scenic overlooks. Before leaving your car for even a short period of time: 1) Remove all valuables, 2) Lock your doors. 3) Take your cell phones and electronics with you. Read article for more details.', 'Due to previous storm damage, the trail has been closed until the park can re-route it to a better location. Until construction of a re-route is complete, the trail will be closed.', 'A majority of the parking lot will be closed as a multi-phase project kicks off. Access to the beach will remain open. Work will occur from sunrise to sunset & on weekends in October. The first phase is expect to complete next year. See link for more.', 'Date Posted: 11/1/2023']",2,4,0
Governors Island,National Monument,NY,NER,GOIS,1.0,https://www.nps.gov/GOIS/planyourvisit/conditions.htm,"['Information', '']",['Seasonal Closing'],['Fort Jay and Castle Williams are closed for the season. Check back on this site for future schedule changes.'],2,1,0
Golden Spike,National Historic Site,UT,IMR,GOSP,1.0,https://www.nps.gov/GOSP/planyourvisit/conditions.htm,['Information'],['Winter Hours - Visitor Center '],['Date Posted: 12/31/2023'],1,1,0
Great Basin,National Park,NV,PWR,GRBA,1.0,https://www.nps.gov/GRBA/planyourvisit/conditions.htm,"['Park Closure', 'Caution']","['Lower Lehman Campground Closed Beginning 2/22/24', 'Seasonal Road Closures', 'Potable water only at Lehman Caves Visitor Center']","['Lower Lehman Campground will be closed effective Thursday, February 22, 2024 due to smoke and hazardous conditions surrounding the Lehman Flats Pile Burn project. Conditions will be evaluated Sunday, February 25th for reopening.', 'The Wheeler Peak Scenic Drive is closed for the season at mile three near the Upper Lehman Campground. Baker Creek Road will close intermittently with snowfall. Both the Snake Creek and Strawberry Creek Roads are closed for the season.', 'Potable water is not available at campgrounds at this time. Potable water for filling containers can be found at the Lehman Caves Visitor Center.']",2,3,1
Grand Canyon,National Park,AZ,IMR,GRCA,1.0,https://www.nps.gov/GRCA/planyourvisit/conditions.htm,['Park Closure'],"[""What's Closed and What's Open? (Park Operational Updates) Tuesday, February 27, 2024"", 'Trail Alerts - Tuesday, February 27, 2024 - South Kaibab Trailhead water is OFF... ']","['The Visitor Center is OPEN from 10 am to 4 pm. Ranger programs are presented daily. Visit the link for available visitor services and their hours of operation. The North Rim and State Route 67 are CLOSED to all vehicle traffic for the winter, until May 15', '...due to freeze damage. Fill your water bottles before arriving at the trailhead. All trails into the canyon are icy. Foot traction & hiking poles are advised. Bright Angel Trail, Plateau Pt. and Tonto Trails are CLOSED for waterline construction work.']",1,2,0
Greenbelt,Park,MD,NCR,GREE,1.0,https://www.nps.gov/GREE/planyourvisit/conditions.htm,"['Park Closure', 'Information', '']","['Temporary Nighttime Closures for Deer Management', 'Perimeter trail detour', 'Perimeter trail detour ']","['Date Posted: 1/2/2024', 'We are temporarily closing the Perimeter trail from 0.0 to 0.4 for visitor safety.  The erosion is causing a visitor safety problem.\nMost Perimeter trail users park at the Sweetgum Picnic Area to access the Perimeter trail.  \n', 'We are temporarily closing the Perimeter trail from 2.4 to 3.4 for visitor safety. The erosion is causing a visitor safety problem.  Most Perimeter trail users park at the Sweetgum Picnic Area to access the Perimeter trail.  There are detour signs.']",3,3,0
Great Egg Harbor River,,NJ,NER,GREG,1.0,https://www.nps.gov/GREG/planyourvisit/conditions.htm,[],[],[],0,0,0
Grant-Kohrs Ranch,National Historic Site,MT,IMR,GRKO,1.0,https://www.nps.gov/GRKO/planyourvisit/conditions.htm,[],[],[],0,0,0
Grand Portage,National Monument,MN,MWR,GRPO,1.0,https://www.nps.gov/GRPO/planyourvisit/conditions.htm,[],[],[],0,0,0
Great Sand Dunes,National Park & Preserve,CO,IMR,GRSA,2.0,https://www.nps.gov/GRSA/planyourvisit/conditions.htm,"['Caution', 'Information']","['Winter Sand Sled Rentals are Over 30 Miles from the Dunes', 'Travel Delays on US 160 and CO 150 Between Alamosa and Great Sand Dunes ']","['Date Posted: 6/8/2023', 'Expect 15-20 minute delays and one-lane alternating traffic on US 160 and CO 150 Between Alamosa and Great Sand Dunes during the month of November. Crews will be performing highway maintenance projects Monday through Friday, 9:00 am - 4:30 pm.']",2,2,0
