Park Alpha,Status,park alpha,park,State,region,title,description,category,relatedRoadEvents,date,Park Name,Park Full Name,Type of Unit,Reg,Column Labels
GLAC,Only using alerts,GLAC,,MT,,['Going-to-the-Sun Road Opens for the Season'],['The Going-to-the-Sun Road is fully open for the 2024 summer season. The road may now be accessed by motorized vehicles over Logan Pass from both the West Glacier and St. Mary entrances.'],['Information'],[[]],2024-08-16,Glacier,Glacier National Park,National Park,IMR,
LEWI,Only using alerts,LEWI,,OR,,"['Aug. 15, 2024, Delays on Fort Clatsop Road', 'Aug. 15, 2024, Fort to Sea Trail head Closed']","['Expect delays on Fort Clatsop Road due to painting of road stripes.', 'Due to road work on Fort Clatsop Road, the Fort to Sea Trail head off of Fort Clatsop Road will be closed on Aug. 15th.']","['Caution', 'Park Closure']","[[], []]",2024-08-16,Lewis and Clark,Lewis and Clark National Historical Park,National Historical Park,PWR,
LIRI,Only using alerts,LIRI,,AL,,['Slant Rock Road Closed to Vehicular Traffic'],"['Due to washout and bad road conditions Slant Rock Road has been closed to all traffic aside from hikers and bikers. To access Slant Rock, park your vehicle at the hunting inspection station off of Road 103.']",['Park Closure'],[[]],2024-08-16,Little River Canyon,Little River Canyon National Preserve,National Preserve,SER,
CRMO,Only using alerts,CRMO,,ID,,['Navigation'],['Please do not rely upon GPS digital navigation systems to find your way to Craters of the Moon. Please note that the Visitor Center at 1266 Craters Loop Road is located just off U.S. Highway 20/26/93 and is not accessed via any unpaved roads.'],['Caution'],[[]],2024-08-16,Craters Of The Moon,Craters of the Moon National Monument and Preserve,National Monument & Preserve,PWR,
JODA,Only using alerts,JODA,,OR,,['Painted Hills- Large RV or Travel Trailer not Recommended Beyond Overlook Trail'],['Don’t get your vehicle stuck at the Painted Hills! We want you and your RV or large bus to enjoy your trip. Travel trailers or large buses are not recommended beyond the Overlook Trail at Painted Hills due to limited turning radius.'],['Caution'],[[]],2024-08-16,John Day Fossil Beds,John Day Fossil Beds National Monument,National Monument,PWR,
FOPO,Only using alerts,FOPO,,CA,,['Auto-Theft Warning - Only Bring What You Need to the Park'],"['You can prevent vehicle break-ins in parking lots and scenic overlooks. Before leaving your car for even a short period of time: 1) Remove all valuables, 2) Lock your doors. 3) Take your cell phones and electronics with you. Read article for more details.']",['Caution'],[[]],2024-08-16,Fort Point,Fort Point National Historic Site,National Historic Site,PWR,
THRO,Only using alerts,THRO,,ND,,"['East River Road into the South Unit limited to one-lane traffic.', 'South Unit Road from the Old East Entrance station mile near marker 22 to mile marker 28']","['East River Road entering the South Unit of the park has reopened to one-lane traffic following a traffic incident on Interstate 94. Expect delays.', 'Due to major road repair work, the former scenic loop between the Old East Entrance Station (near mile marker 22) and mile marker 28 is closed to all traffic, including pedestrian, and bicycle access.']","['Danger', 'Caution']","[[], []]",2024-08-16,Theodore Roosevelt,Theodore Roosevelt National Park,National Park,MWR,
FOWA,Only using alerts,FOWA,,MD,,['Service Road Closure'],['The Service Road/Trail toward the lighthouse are closed to due scheduled construction of the roadway. Please do not enter the area.'],['Park Closure'],[[]],2024-08-16,Fort Washington,Fort Washington Park,Park,NCR,
TUZI,Only using alerts,TUZI,,AZ,,['Fire Restrictions in Place - NO Smoking'],"['Fire restrictions are in place at Tuzigoot National Monument. Smoking is prohibited, including Electronic Nicotine Delivery Systems (E.N.D.S.), except when inside a personal vehicle.']",['Caution'],[[]],2024-08-16,Tuzigoot,Tuzigoot National Monument,National Monument,IMR,
CAVE,Only using alerts,CAVE,,NM,,['Walnut Canyon Desert Drive Closed Due to Flood Damage'],"['Recent flooding has caused major damage to the road. It is unknown when repairs will begin or the length of time to complete. The main park road to the visitor center and cavern is open. For updates on the road and trails, click ""More"" below.']",['Information'],[[]],2024-08-16,Carlsbad Caverns,Carlsbad Caverns National Park,National Park,IMR,
PARA,Only using alerts,PARA,,AZ,,"['Looking for a Grand Canyon view? A warning about mobile devices and map/navigation apps', 'Arizona Off-Highway Vehicle (OHV) Requirements for Residents and Non-residents.']","['Map apps may direct you to Parashant if you search for directions to ""Grand Canyon"" due the canyon\'s name in both the national park and monument names. The national park has paved roads and services. Parashant has no services and rugged/remote conditions.', 'Off-highway vehicles (OHVs) are required by law to display a valid OHV decal to operate on public and state trust lands in Arizona. This includes “street legal” vehicles that meet these two requirements.']","['Caution', 'Information']","[[], []]",2024-08-16,Grand Canyon-Parashant,Grand Canyon-Parashant National Monument,National Monument,IMR,
FONE,Only using alerts,FONE,,PA,,['Portions of Braddock Road Trail Closed'],['Portions of the Braddock Road Trail at the Indian Run bridge are closed until a new foot bridge is constructed.'],['Information'],[[]],2024-08-16,Fort Necessity,Fort Necessity National Battlefield,National Battlefield,NER,
HAVO,Only using alerts,HAVO,,HI,,['Temporary Road Closures and Fire Restrictions'],['Hilina Pali Road at the Mauna Iki Trail and Mauna Loa Road at Kīpukapuaulu Trailhead will be closed to vehicle use due to increased fire danger. Backcountry hikers will be provided access. All campfires and open flame cooking fires is prohibited.'],['Park Closure'],[[]],2024-08-16,Hawaii Volcanoes,Hawai'i Volcanoes National Park,National Park,PWR,
FOMC,Only using alerts,FOMC,,MD,,['Motorized Recreational Scooters Not Permitted in Park'],"['For the safety and protection of visitors and park resources, motorized scooters are not permitted within the park. Any vehicles (scooters, bicycles, etc.) that are part of a ride-share program may not be left behind for pick up inside the park']",['Information'],[[]],2024-08-16,Fort McHenry,Fort McHenry National Monument and Historic Shrine,National Monument and Historic Shrine,NER,
NOCA,Only using alerts,NOCA,,WA,,"['State Route 20 Closure', 'Cascade River Road Closure', 'Hozomeen Gate Will Remain Closed', 'Be Aware of Break-ins along State Route 20']","['As of Aug. 4 at 8 am, State Route 20 is closed in both directions from Granite Creek (MP148) to Easy Pass Trailhead (MP157) due to wildfire activity. The roadway will be evaluated daily for reopening. Monitor the WSDOT real time travel map.', 'Cascade River Road is closed at MP 8 (Marble Creek) due to the Pincer Two Fire. There is no access to the park beyond the closure.', 'The gate at Hozomeen will remain closed to vehicle access from Canada. Winnebago Flats and the upper Hozomeen campgrounds will remain closed. For more information visit the news release on summer operations.', 'Prevent smashed windows and theft. Break-ins are not uncommon at trailheads along State Route 20. Remove your valuables and electronics and take associated electronic cords.']","['Park Closure', 'Park Closure', 'Park Closure', 'Caution']","[[], [], [], []]",2024-08-16,North Cascades,North Cascades National Park,National Park,PWR,
BIBE,Only using alerts,BIBE,,TX,,['Bringing a Pet to Big Bend?'],"['Bringing your pet to Big Bend National Park will limit some of your park explorations and opportunities. Pets are not allowed on park trails, in the backcountry, or on the river. Pets are allowed only where vehicles can go. Pets may not be left unattended']",['Information'],[[]],2024-08-16,Big Bend,Big Bend National Park,National Park,IMR,
IATR,Only using alerts,IATR,,WI,,['Trail Conditions'],"['Trail conditions can vary throughout the state. Before heading out, check the trail conditions, potential re-routes and closures on the Ice Age Trail Alliance website.']",['Information'],[[]],2024-08-16,Ice Age,Ice Age National Scenic Trail,National Scenic Trail,MWR,
CUGA,Only using alerts,CUGA,,"KY, TN, VA",,"['Bridge out on Gibson Gap Trail', 'Trail Segment Closure']","['Recent storms have washed out the bridge over Station Creek on the Gibson Gap trail. Horses may continue on the trail, but hikers will need to use an alternate route. To get reach the Gibson Gap Trail, hikers should use Greenleaf Nature trail to Honey Tre', 'Wilderness Road is closed from Tennessee Road Trail to the trail that leads up to Gap Cave for a project to replace the bridge across Gap Creek.']","['Caution', 'Park Closure']","[[], []]",2024-08-16,Cumberland Gap,Cumberland Gap National Historical Park,National Historical Park,SER,
VAFO,Only using alerts,VAFO,,PA,,['County Line Road Closed Monday To Friday'],"['County Line Road is closed during the week, from Monday through Friday. The closure will apply to all vehicular, pedestrian, and bicycle traffic. Please find an alternate route.']",['Information'],[[]],2024-08-16,Valley Forge,Valley Forge National Historical Park,National Historical Park,NER,
ACAD,Only using alerts,ACAD,,ME,,"['Some Streets in Downtown Bar Harbor Closed for Construction Through Summer', 'Great Meadow Loop Trail closed along Great Meadow Drive']","['To avoid traffic congestion, visitors should access Sand Beach via the Park Loop Road by following signs from the park’s Hulls Cove entrance on Route 3 (Eden Street) or Cadillac Mountain entrance on Route 233 (Eagle Lake Road) in Bar Harbor.', 'The trail crew will be removing old road asphalt with heavy equipment to restore the area to a more natural state. Hikers will be able to walk along the roadway of Great Meadow Drive to access trails into Sieur de Monts area.']","['Information', 'Park Closure']","[[], []]",2024-08-16,Acadia,Acadia National Park,National Park,NER,
MORU,Only using alerts,MORU,,SD,,['Highway Construction Impacting Travel to the Memorial'],['Numerous highway construction projects are occurring in the Black Hills and may impact trip planning to the Memorial. Please consult with South Dakota 511 to minimize delays or other inconveniences.'],['Information'],[[]],2024-08-16,Mount Rushmore,Mount Rushmore National Memorial,National Memorial,MWR,
PINE,Only using alerts,PINE,,NJ,,['If you have been redirected from the New Jersey Coastal Heritage Trail Route'],"[""You were redirected to this site from the New Jersey Coastal Heritage Trail Route because of a sunset clause in the Trail's federal legislation, the NPS lost its legislative authority to manage the trail after 9-30-2011.""]",[''],[[]],2024-08-16,New Jersey Pinelands,New Jersey Pinelands National Reserve,National Reserve,NER,
HALE,Only using alerts,HALE,,HI,,['Drive Cautiously - Endangered Birds on Roadway'],"['Nēnē (Hawaiian geese) and ʻuaʻu (Hawaiian petrel) are nesting in the park and may land on or frequent park roads, parking lots, and road leading up to the park. Drivers are reminded to drive at the posted speed limits and exercise caution.']",['Information'],[[]],2024-08-16,Haleakala,Haleakala National Park,National Park,PWR,
BISO,Only using alerts,BISO,,"KY,TN",,['Temporary Trail Closure During Ongoing Storm Recovery'],"['Work crews at Big South Fork National River & Recreation Area have cleared all roads and most trails of hazardous trees from the major weather event on May 26. Due to safety concerns, some trails are still closed to all pedestrian, bike, and horse traffic']",['Caution'],[[]],2024-08-16,Big South Fork,Big South Fork National River and Recreation Area,National River & Recreation Area,SER,
COLO,Only using alerts,COLO,,VA,,['Rehabilitation of Colonial Parkway continues with additional Parkway closures'],"['Beginning Tuesday, April 9, 2024, construction will close the Colonial Parkway to all travel in either direction between Yorktown and VA Route 199. Follow all detour signs. See additional closure information in the link below.']",['Park Closure'],[[]],2024-08-16,Colonial,Colonial National Historical Park,National Historical Park,NER,
ROMO,Only using alerts,ROMO,,CO,,['Fire Ban in Effect in Rocky Mountain National Park'],"['Stage 2 fire restrictions are in effect in all areas of RMNP, meaning that the use of all fires, including charcoal briquette fires, is prohibited. Smoking is prohibited inside the park, except within an enclosed vehicle or within a developed paved area.']",['Park Closure'],[[]],2024-08-16,Rocky Mountain,Rocky Mountain National Park,National Park,IMR,
ROCA,Only using alerts,ROCA,,ME,,['Roosevelt Campobello International Park is located in Welshpool.'],"['Campobello Island is located in the province of New Brunswick, Canada. The physical address for the Visitor Centre is: 459 Route 774 Welshpool, New Brunswick, Canada E5E 1A4']",['Information'],[[]],2024-08-16,Roosevelt Campobello,Roosevelt Campobello International Park,International Park,NER,
HOME,Only using alerts,HOME,,NE,,['Construction'],"['Partial closure of Education Center parking lot due to ongoing construction. No capacity for oversized vehicles (busses, trucks with trailer/camper, long RVs). Please use Heritage Center and Freeman School lots.']",['Information'],[[]],2024-08-16,Homestead,Homestead National Historical Park,National Monument of America,MWR,
AMIS,Only using alerts,AMIS,,TX,,['277N Campground Closed to Tentatively Reopen September 1'],"['Due to resource theft and damage from unauthorized off-road travel in and around the campground, the 277N Campground is closed. It is expected to reopen September 1, 2024.']",['Park Closure'],[[]],2024-08-16,Amistad,Amistad National Recreation Area,National Recreation Area,IMR,
VICK,Only using alerts,VICK,,MS,,"['National Cemetery Closed to Vehicles; Open to Pedestrians', 'Louisiana Circle Closed', ""North Union Avenue and Grant's Circle Closed""]","['Due to weather related incidents, Vicksburg National Cemetery is closed to vehicular traffic, however it is open to pedestrians. Visitor can park in the adjacent USS Cairo parking lot and walk into the cemetery.', 'Louisiana Circle is closed to vehicles and pedestrians due to slope instability. Navy Circle is open and also provides views of the Mississippi River.', ""Due to weather related incidents, North Union Avenue and Grant's Circle are closed to vehicular and recreational traffic. Entering these areas is prohibited. A portion of Grant Avenue is open for touring.""]","['Park Closure', 'Park Closure', 'Park Closure']","[[], [], []]",2024-08-16,Vicksburg,Vicksburg National Military Park,National Military Park,SER,
CAVO,Only using alerts,CAVO,,NM,,"['Volcano Road Closed to RVs and Buses over 26 feet, and to all Trailers.']","['The Volcano top road is not accessible to RVs, buses, attached trailers, or any other vehicle over 26 feet in length, due to the narrowness and weight limits of Volcano Road. Trailer drop off and RV/bus parking is available at the Visitor Center.']",['Park Closure'],[[]],2024-08-16,Capulin Volcano,Capulin Volcano National Monument,National Monument,IMR,
DEPO,Only using alerts,DEPO,,CA,,['Reds Meadow Road Access Restrictions in 2024'],"['Reds Meadow Road & shuttle service, which provide access to Devils Postpile, will be closed for construction from Sundays at 11 pm through Fridays at 9 am (except holidays) during the summer 2024 season. The road also closes Fridays starting September 15.']",['Park Closure'],[[]],2024-08-16,Devils Postpile,Devils Postpile National Monument,National Monument,PWR,
POHE,Only using alerts,POHE,,"DC,MD,PA,VA",,"['Potomac Heritage National Scenic Trail Closure along George Washington Memorial Parkway', 'Some facilities closed along the Potomac Heritage National Scenic Trail']","['There is a temporary closure of the Potomac Heritage National Scenic Trail crossing underneath Glebe Road Bridge due to construction along the George Washington Memorial Parkway. This work is a subsect of the North Parkway rehabilitation.', 'Please see our partner sites to find the most up-to-date information on closures, re-routes, or conditions along the Trail.']","['Park Closure', 'Information']","[[], []]",2024-08-16,Potomac Heritage,Potomac Heritage,National Scenic Trail,NCR,
DEWA,Only using alerts,DEWA,,PA,,"['No Potable Water Available at Rivers Bend Group Campground', 'Old Mine Road South Closed for Rehabilitation Project', 'Dingmans Falls Visitor Center is Closed to RVs, Buses, and Trailers on Weekends and Holidays.']","['Anyone with reservations for the campground should bring their own water or stop at Millbrook Village up the road to fill their reserves. The water spigot is in the picnic area near the bathroom building.', 'Old Mine Road between Millbrook Village and Worthington State Forest is closed for a pavement rehabilitation project. No pedestrian, bicycle, or vehicle traffic is permitted in the closed area. Please see news releases for more information.', 'Due to the heavy volume of traffic and long wait times, the access road to Dingmans Falls Visitor Center is closed to recreational vehicles, buses, and trailers on both weekends and holidays.']","['Caution', 'Park Closure', 'Information']","[[], [], []]",2024-08-16,Delaware Water Gap,Delaware Water Gap National Recreation Area,National Recreation Area,NER,
CANY,Only using alerts,CANY,,UT,,"['Grand View Point closing for construction weekdays August through September', 'Seasonal climbing closures in effect', 'Expect long lines to enter the park']","['Grand View Point Overlook, Grand View Point Trail, and 0.3 mi (0.5 km) of park road will close 6 am Mondays to 4 pm Thursdays for a total of eight weeks. The closure applies to all uses, including vehicles, tour buses, motorcycles, bikes, & hikers.', 'All climbers should ensure routes are not subject to wildlife seasonal closures. Many closures start March 1, March 15, or April 1 and continue through spring and summer.', 'Between March and November, particularly on busy holiday weekends, you may experience long lines at the entrance road. Parking lots at popular trailheads and viewpoints will fill early. Pack your patience and arrive early to avoid crowds.']","['Park Closure', 'Information', 'Information']","[[], [], []]",2024-08-16,Canyonlands,Canyonlands National Park,National Park,IMR,
HAFO,Only using alerts,HAFO,,ID,,['Use Caution with GPS Navigation'],"['The new visitor center is located at 17970 US Hwy 30, about one mile north of downtown Hagerman and the old visitor center. Highway signs and GPS navigation may not yet be up-to-date.']",['Caution'],[[]],2024-08-16,Hagerman Fossil Beds,Hagerman Fossil Beds National Monument,National Monument,PWR,
GETT,Only using alerts,GETT,,PA,,['Road Closures in Culp’s Hill & Spangler’s Spring Area Begin July 29 for Paving Project'],"['Road closures will temporarily interrupt the ability to visit portions of the battlefield while work is ongoing. A mix of daytime and nighttime work will occur. Park roads may be fully closed, intermittently closed, or reduced to a single lane of traffic.']",['Park Closure'],[[]],2024-08-16,Gettysburg,Gettysburg National Military Park,National Military Park,NER,
GRBA,Only using alerts,GRBA,,NV,,"['Snake Creek Road Closed', 'Roadway Delays']","['Due to damage sustained during a recent weather event, Snake Creek Road will be temporarily closed at the park boundary until repairs can be made.', 'Expect up to 30min delays on roads in the park as sections of the road may have to be reduced to one lane.']","['Park Closure', 'Information']","[[], []]",2024-08-16,Great Basin,Great Basin National Park,National Park,PWR,
WHSA,Only using alerts,WHSA,,NM,,"['Dunes Drive Safety Corridor', 'Park Closures', 'RV and Tractor Trailer Parking at the Visitor Center']","['Dunes Drive is open. A safety corridor is in effect between mile marker 3 and 5.5 along Dunes Drive. Visitors may drive but not stop or exit their vehicle in this area.', 'From time to time the missile range that surrounds the park performs military testing that may require the closure of the park or Highway 70. Please plan your visit around upcoming military tests.', 'There is limited space for parking for recreational vehicles and trailers in the parking lot directly in front (south) of the visitor center. RVs are asked to not park in the lot behind the visitor center. There is no parking space for tractor trailers.']","['Park Closure', 'Information', 'Information']","[[], [], []]",2024-08-16,White Sands,White Sands National Park,National Monument,IMR,
EVER,Only using alerts,EVER,,FL,,"['Click on ""caution"" alerts below for important details on accessing the park', ""Road construction on approach to park's Homestead entrance"", 'Roadwork may cause delays on US 41/Tamiami Trail']","['Tamiami Trail and State Road 9336 both have ongoing construction which may cause minor delays. If you have a scheduled tour, please plan accordingly.', 'Roadwork is underway along State Road 9336 leading to the Homestead entrance of the park, approaching the Ernest F. Coe Visitor Center. Drivers may experience short delays and should watch for personnel, construction equipment, and slowdowns.', ""Current roadwork is ongoing along the park's northern boundary on US Highway 41/Tamiami Trail to raise the road for Everglades Restoration benefits. Drivers may experience up to 15-minute delays and should watch for personnel, equipment and slow downs.""]","['Park Closure', 'Caution', 'Caution']","[[], [], []]",2024-08-16,Everglades,Everglades National Park,National Park,SER,
MUWO,Only using alerts,MUWO,,CA,,"['Auto-Theft Warning - Only Bring What You Need to the Park', 'Parking & Shuttle Reservations Always Required - See ""Know Before You Go"" for Details']","['You can prevent vehicle break-ins in parking lots and scenic overlooks. Before leaving your car for even a short period of time: 1) Remove all valuables, 2) Lock your doors. 3) Take your cell phones and electronics with you. Read article for more details.', 'Reservations are required for all personal vehicles and shuttle riders at Muir Woods. You can make your reservation by visiting www.gomuirwoods.com. Visit our ""Know Before You Go"" webpage to learn more important details before your visit.']","['Caution', 'Information']","[[], []]",2024-08-16,Muir Woods,Muir Woods National Monument,National Monument,PWR,
AMCH,Only using alerts,AMCH,,CO,,['Road Damage'],"['Due to damage from heavy rains, some roads may require high clearance or 4x4 vehicles for passage. Please use caution when approaching and driving on roadways. Trailers over 30 ft not advised.']",['Caution'],[[]],2024-08-16,Amache,Amache National Historic Site,National Historic Site,IMR,
BICA,Only using alerts,BICA,,"MT,WY",,['Road Construction Delays April 1 to Mid-August 2024'],['Road construction in the park from April 1 to mid-August 2024. Weekly updates on construction activities and locations in the park will be posted on the Bighorn Canyon Facebook page. Visitors can also call 307-548-5406 for current conditions.'],['Information'],[[]],2024-08-16,Bighorn Canyon,Bighorn Canyon National Recreation Area,National Recreation Area,IMR,
CARL,Only using alerts,CARL,,NC,,['Pedestrian Bridge at Front Lake is Closed'],"['The pedestrian bridge at the main entrance to the park is closed. A 6-passenger accessible shuttle runs daily every 20 minutes from 9:40 am to 4:20 pm, from the main parking lot, on Little River Road, to the Sandburg Home and farm area.']",['Caution'],[[]],2024-08-16,Carl Sandburg Home,Carl Sandburg Home National Historic Site,National Historic Site,SER,
CONG,Only using alerts,CONG,,SC,,"['RVs, Trailers and Other Oversized Vehicles - Low Overhead Clearance']","['Drivers of RVs, vehicles towing trailers, and other high overhead clearance vehicles, should use caution when entering the park due to overhead hazards near the park entrance.']",['Information'],[[]],2024-08-16,Congaree,Congaree National Park,National Park,SER,
PAGR,Only using alerts,PAGR,,NJ,,"['Overlook Parking Lot Unavailable After Dark', 'Heavy Construction Vehicle Operations & Limited Amphitheater Accessibility']","[""The park parking lot at 72 McBride Extension is open from dawn to dusk every day. Any vehicles left in the parking lot after dusk (i.e. sunset) are subject to towing at owner's expense."", 'Heavy construction vehicles are operating through the parking lot & Lower Overlook Park - use caution & be vigilant for hazards. Lower Overlook & Amphitheater access is via stairs only for construction duration.']","['Information', 'Danger']","[[], []]",2024-08-16,Paterson Great Falls,Paterson Great Falls National Historical Park,National Historical Park,NER,
MIMI,Only using alerts,MIMI,,SD,,['Warning about GPS Systems!'],"['Vehicle Navigation Systems and GPS units may provide inaccurate information—sending drivers the wrong way on one-way roads, leading them to dead ends in remote areas, or sending them on roads which are impassable. Use the Interstate exits for wayfinding.']",['Caution'],[[]],2024-08-16,Minuteman Missile,Minuteman Missile National Historic Site,National Historic Site,MWR,
MOCA,Only using alerts,MOCA,,AZ,,['Fire Restrictions in Place - NO Smoking'],"['Fire restrictions are in place at Montezuma Castle National Monument and its Sub-Unit Montezuma Well. Smoking is prohibited, including Electronic Nicotine Delivery Systems (E.N.D.S.), except when inside a personal vehicle.']",['Caution'],[[]],2024-08-16,Montezuma Castle,Montezuma Castle National Monument,National Monument,IMR,
YELL,Only using alerts,YELL,,"ID,MT,WY",,"['Vehicle entrance reservation not needed', 'Biscuit Basin closed for the remainder of summer due to hydrothermal explosion']","['Although an entrance pass is required to enter Yellowstone National Park, vehicle reservations are not needed. You are encouraged to purchase an entrance pass before arriving, but you may also purchase passes at any entrance station upon arrival.', 'The parking lot and boardwalks at Biscuit Basin, located north of Old Faithful, are closed for the remainder of the summer due to a hydrothermal explosion that occurred July 23. The Grand Loop Road remains open to vehicles.']","['Information', 'Park Closure']","[[], []]",2024-08-16,Yellowstone,Yellowstone National Park,National Park,IMR,
MORR,Only using alerts,MORR,,NJ,,"['Tree work on Jockey Hollow Tour Road', 'Park Road Closures beginning Thursday, July 11, 2024', 'Morristown road closures beginning 29 February', 'Passaic River Trail Bridge washed out']","['Workers will be prunng trees along the Jockey Hollow Tour Road--for safety reasons, there may be occasional road closures', 'The Jockey Hollow tour road will be closed daily at 6:30pm, but grounds are open until 8pm. Fort Nonsense parking lot closes at 6pm, but grounds will remain open to pedestrians until 8pm. The NY Brigade and JH Visitor Center parking lots close at 8pm', 'On 2/29 Eastbound Morris St. will be closed down to one lane starting at Ridgedale Ave for about 140 days. Westbound Morris St will closed to all traffic starting at the intersection of Ford Ave and Taft Lane. Please plan alternate routes.', ""Tropical Storm Ida washed out the Passaic River bridge on the Patriot's Path Trail south of Tempe Wick Road. This area is a known habitat of the endangered wood turtle, so do not wade, walk, or let your dog run in the river at this location.""]","['Caution', 'Park Closure', 'Information', 'Caution']","[[], [], [], []]",2024-08-16,Morristown,Morristown National Historical Park,National Historical Park,NER,
DENA,Only using alerts,DENA,,AK,,"['Denali Park Road Information', 'Park Operations Altered Due to Pretty Rocks Landslide']","['The Denali Park Road is open to Mile 15 (Savage River) for personal vehicles. Vehicle travel beyond Savage River in summer is mainly limited to transit and tour buses.', 'Summer access to facilities and services in Denali remains altered due to the Pretty Rocks Landslide and the associated closure of the Park Road at Mile 43. Check here for more information on what to expect.']","['Information', 'Park Closure']","[[], []]",2024-08-16,Denali,Denali National Park and Preserve,National Park & Preserve,AKR,
GRPO,Only using alerts,GRPO,,MN,,['Flooding on the Grand Portage Trail at Poplar Creek'],['Increased rain and beaver dam activity this year flooded the Poplar Creek Crossing along the Grand Portage Trail. Please use caution as you pass through the water. Park staff is in the process of determining a drier route.'],['Caution'],[[]],2024-08-16,Grand Portage,Grand Portage National Monument,National Monument,MWR,
APPA,Only using alerts,APPA,,"CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV",,['CENTRAL VA – PARKING LOT CLOSURE– ROUTE 311/MCAFEE KNOB'],"['McAfee Knob/Route 311 parking area along the A.T. in Catawba will be closed Thursday, November 30. The lot is being closed to allow for the construction of a new pedestrian footbridge over Route 311.']",['Park Closure'],[[]],2024-08-16,Appalachian,Appalachian,National Scenic Trail,NER,
CACH,Only using alerts,CACH,,AZ,,"['Route 7 from Sawmill, AZ is NOT recommended']","['Entering the park from the east at Sawmill, AZ on Route 7 is not recommended. Part of this route is UNPAVED and UNMAINTAINED. Please stay on paved roads, such as Indian Route 64 from Tsaile, AZ and Highway 191/Route 7 from Chinle, AZ.']",['Information'],[[]],2024-08-16,Canyon De Chelly,Canyon de Chelly National Monument,National Monument,IMR,
ULSG,Only using alerts,ULSG,,MO,,['GPS Navigation Systems'],"[""GPS navigation systems often misdirect visitors driving to Ulysses S. Grant National Historic Site. GPS systems often route visitors to our back gate, or to the entrance for Grant's Farm (not affiliated with the NPS). Please visit our directions page.""]",['Information'],[[]],2024-08-16,Ulysses S Grant,Ulysses S. Grant National Historic Site,National Historic Site,MWR,
GOGA,Only using alerts,GOGA,,CA,,"['Phleger Estate Miramontes Trail Closed for Public Safety January 2022 Until Trail is Replaced', 'Auto-Theft Warning - Only Bring What You Need to the Park']","['Due to previous storm damage, the trail has been closed until the park can re-route it to a better location. Until construction of a re-route is complete, the trail will be closed.', 'You can prevent vehicle break-ins in parking lots and scenic overlooks. Before leaving your car for even a short period of time: 1) Remove all valuables, 2) Lock your doors. 3) Take your cell phones and electronics with you. Read article for more details.']","['Information', 'Caution']","[[], []]",2024-08-16,Golden Gate,Golden Gate National Recreation Area,National Recreation Area,PWR,
CHCU,Only using alerts,CHCU,,NM,,['South Road Entrance Hwy. 57 muddy'],['South road entrance Hwy. 57 is very muddy due to a recent rainstorm. There are numerous mud holes on the road that could cause vehicles to become stuck.'],['Caution'],[[]],2024-08-16,Chaco Culture,Chaco Culture National Historical Park,National Historical Park,IMR,
TAPR,Only using alerts,TAPR,,KS,,['Dangerous Highway Crossing'],"['Highway 177 is 60 mph with a blind spot directly across from the house. Safely use the highway underpass to the Fox Creek Trail just south of the visitor center parking lot. Be smart, stay alive.']",['Caution'],[[]],2024-08-16,Tallgrass Prairie,Tallgrass Prairie National Preserve,National Preserve,MWR,
VIIS,Only using alerts,VIIS,,VI,,"['Tropical Storm Ernesto Clean-up', 'Tropical Storm Ernesto Road Closures']","['Post storm clean-up efforts are continuing. The park is prioritizing clearing roads, parking lots, and beaches of hazard trees and debris. Some park amenities such as bathrooms and trashcans will not be available in some areas.', 'Northshore Road is now passable. There is single lane traffic at Trunk Bay switchbacks and Cinnamon Bay switchbacks. Centerline Road is passable. Drivers should be cautious of storm debris. Road closure due to downed powerline in John Head Road.']","['Danger', 'Danger']","[[], []]",2024-08-16,Virgin Islands,Virgin Islands National Park,National Park,SER,
LAVO,Only using alerts,LAVO,,CA,,['Emergency Closure Due to Fire'],['Highway 89 through the park is closed to the public due to the Park Fire and is only open as an evacuation route. Recreation is prohibited in the park due to extreme fire danger.'],['Danger'],[[]],2024-08-16,Lassen Volcanic,Lassen Volcanic National Park,National Park,PWR,
NATT,Only using alerts,NATT,,"AL, MS, TN",,['Temporary Blackland Prairie Trail Closure to Equestrians'],"['Heavy rain has undermined a culvert making it unsafe for passage. Due to horse trailer parking availability, the entire section is closed to equestrians. Hikers are still able to travel from the railroad tracks to the Parkway Visitor Center.']",['Park Closure'],[[]],2024-08-16,Natchez Trace,Natchez Trace National Scenic Trail,National Scenic Trail,SER,
KAWW,Only using alerts,KAWW,,ME,,['Impassable Washout on Sebeois Connector Road'],"['There is an impassable washout on the Seboeis Connector Road (46.07214,-68.63190) within the Seboeis Parcel of Katahdin Woods and Waters National Monument.']",['Caution'],[[]],2024-08-16,Katahdin Woods And Waters,Katahdin Woods and Waters National Monument,National Monument,NER,
